setup,preset,region,rmse,mae,bias,p95,max,median_uncertainty
Guitarra,point_30hz_previous,Medios,0.3697368750866652,0.3220388897437837,0.17346028431244453,0.6099215122624604,0.6160963645866993,0.0834383031580304
Guitarra,point_30hz_previous,Presencia,0.5691390459723275,0.517364230994075,-0.5161997561244946,0.8891918696030812,0.9192801195842435,0.14423111834837815
Guitarra,point_30hz_previous,Brillo,0.98813663974995,0.827131190970272,0.7791309118376158,1.7611872796744106,1.9424559492509488,0.1750357910085287
Guitarra,new_balanced,Subgraves,0.30080436065419897,0.29549236317191974,0.29549236317191974,0.36634767196856477,0.3690563075502782,0.0883988466376854
Guitarra,new_balanced,Graves,0.39759435915023034,0.3379224023451348,-0.20742342821560633,0.6819092752635546,0.7127702849979602,0.0859086040703356
Guitarra,new_balanced,Medios,0.6193231380885246,0.569161606700099,0.18562852638209262,0.906674658048948,0.9208105957165138,0.0834383031580304
Guitarra,new_balanced,Presencia,0.5043923088117696,0.43865373070836944,-0.4068027077134697,0.8170734384721625,0.848070824483095,0.14423111834837815
Guitarra,new_balanced,Brillo,0.5671137984755694,0.48641514134431574,0.3838307654243638,1.0304979054954693,1.1686099459154775,0.1750357910085287
Guitarra,new_subgrave,Subgraves,0.051148578127919994,0.03795626095402763,0.03795626095402763,0.12465091466915344,0.14906468916747784,0.0883988466376854
Guitarra,new_subgrave,Graves,0.7084004162846383,0.6057518430359562,-0.6056486991957205,1.1214464113971412,1.1557524071467364,0.0859086040703356
Guitarra,new_subgrave,Medios,0.6625956278888463,0.5573627493123214,-0.24448854847045837,1.124511832302957,1.152433186389426,0.0834383031580304
Guitarra,new_subgrave,Presencia,0.6155533628750601,0.5652379404868071,-0.5647226639464282,0.9368143716915475,0.9663440891202004,0.14423111834837815
Guitarra,new_subgrave,Brillo,0.6311225020574597,0.5400304888432816,0.4407676097282622,1.1406483321088114,1.284004391242787,0.1750357910085287
Guitarra,new_global,Subgraves,0.1073103466952724,0.06978497399820391,0.032322191275061245,0.2890192061736067,0.3379808159071982,0.0883988466376854
Guitarra,new_global,Graves,0.13039682337581393,0.11883068708505887,-0.11883068708505887,0.2211453802690532,0.2517092354407575,0.0859086040703356
Guitarra,new_global,Medios,0.3697368750866652,0.3220388897437837,0.17346028431244453,0.6099215122624604,0.6160963645866993,0.0834383031580304
Guitarra,new_global,Presencia,0.5691390459723275,0.517364230994075,-0.5161997561244946,0.8891918696030812,0.9192801195842435,0.14423111834837815
Guitarra,new_global,Brillo,0.98813663974995,0.827131190970272,0.7791309118376158,1.7611872796744106,1.9424559492509488,0.1750357910085287
