setup,band,center_hz,gain_db,frequency_hz,contribution_db
Bajo,1,30,16.0,65.35661812964399,10.95839617537572
Bajo,1,30,16.0,65.5929911867048,10.948300595686964
Bajo,1,30,16.0,65.8302191261586,10.938152960026677
Bajo,1,30,16.0,66.06830503982944,10.927953255244255
Bajo,1,30,16.0,66.3072520307235,10.917701469378107
Bajo,1,30,16.0,66.54706321306945,10.90739759166736
Bajo,1,30,16.0,66.78774171235914,10.897041612563365
Bajo,1,30,16.0,67.02929066538825,10.886633523741223
Bajo,1,30,16.0,67.27171322029716,10.876173318111162
Bajo,1,30,16.0,67.5150125366121,10.865660989829824
Bajo,1,30,16.0,67.75919178528623,10.855096534311478
Bajo,1,30,16.0,68.00425414874094,10.84447994823914
Bajo,1,30,16.0,68.25020282090742,10.833811229575566
Bajo,1,30,16.0,68.49704100726824,10.823090377574175
Bajo,1,30,16.0,68.74477192489911,10.812317392789861
Bajo,1,30,16.0,68.99339880251085,10.801492277089713
Bajo,1,30,16.0,69.24292488049144,10.790615033663606
Bajo,1,30,16.0,69.49335341094825,10.779685667034721
Bajo,1,30,16.0,69.74468765775045,10.768704183069929
Bajo,1,30,16.0,69.99693089657153,10.757670588990075
Bajo,1,30,16.0,70.25008641493199,10.74658489338017
Bajo,1,30,16.0,70.50415751224219,10.735447106199437
Bajo,1,30,16.0,70.7591474998454,10.724257238791274
Bajo,1,30,16.0,71.01505970106085,10.713015303893078
Bajo,1,30,16.0,71.27189745122715,10.701721315645978
Bajo,1,30,16.0,71.52966409774568,10.690375289604424
Bajo,1,30,16.0,71.78836300012429,10.678977242745678
Bajo,1,30,16.0,72.04799753002101,10.66752719347916
Bajo,1,30,16.0,72.30857107128809,10.656025161655702
Bajo,1,30,16.0,72.57008702001595,10.644471168576645
Bajo,1,30,16.0,72.83254878457763,10.63286523700284
Bajo,1,30,16.0,73.09595978567305,10.621207391163495
Bajo,1,30,16.0,73.36032345637369,10.60949765676492
Bajo,1,30,16.0,73.62564324216731,10.597736060999122
Bajo,1,30,16.0,73.89192260100285,10.585922632552268
Bajo,1,30,16.0,74.15916500333542,10.574057401613056
Bajo,1,30,16.0,74.42737393217172,10.562140399880867
Bajo,1,30,16.0,74.69655288311527,10.550171660573893
Bajo,1,30,16.0,74.966705364412,10.538151218437024
Bajo,1,30,16.0,75.23783489699602,10.526079109749677
Bajo,1,30,16.0,75.50994501453548,10.513955372333434
Bajo,1,30,16.0,75.78303926347863,10.501780045559567
Bajo,1,30,16.0,76.05712120310001,10.48955317035642
Bajo,1,30,16.0,76.33219440554694,10.477274789216633
Bajo,1,30,16.0,76.60826245588589,10.464944946204245
Bajo,1,30,16.0,76.88532895214942,10.452563686961634
Bajo,1,30,16.0,77.16339750538295,10.440131058716325
Bajo,1,30,16.0,77.44247173969177,10.42764711028764
Bajo,1,30,16.0,77.72255529228846,10.415111892093218
Bajo,1,30,16.0,78.00365181354013,10.402525456155358
Bajo,1,30,16.0,78.28576496701601,10.38988785610725
Bajo,1,30,16.0,78.5688984295353,10.377199147199029
Bajo,1,30,16.0,78.853055891215,10.364459386303682
Bajo,1,30,16.0,79.13824105551804,10.351668631922804
Bajo,1,30,16.0,79.42445763930151,10.338826944192217
Bajo,1,30,16.0,79.71170937286517,10.325934384887423
Bajo,1,30,16.0,80.0,10.312991017428887
Bajo,1,30,16.0,80.28933327803705,10.299996906887202
Bajo,1,30,16.0,80.57971297789629,10.28695211998806
Bajo,1,30,16.0,80.87114288413603,10.2738567251171
Bajo,1,30,16.0,81.1636267950019,10.26071079232457
Bajo,1,30,16.0,81.45716852247654,10.24751439332987
Bajo,1,30,16.0,81.75177189232933,10.234267601525884
Bajo,1,30,16.0,82.04744074416612,10.220970491983195
Bajo,1,30,16.0,82.34417893147935,10.207623141454139
Bajo,1,30,16.0,82.64199032169827,10.194225628376682
Bajo,1,30,16.0,82.9408787962393,10.180778032878132
Bajo,1,30,16.0,83.24084825055664,10.167280436778732
Bajo,1,30,16.0,83.5419025941931,10.153732923595037
Bajo,1,30,16.0,83.84404575083097,10.140135578543166
Bajo,1,30,16.0,84.14728165834313,10.126488488541902
Bajo,1,30,16.0,84.45161426884457,10.112791742215578
Bajo,1,30,16.0,84.75704754874363,10.099045429896861
Bajo,1,30,16.0,85.06358547879385,10.085249643629357
Bajo,1,30,16.0,85.37123205414589,10.071404477170002
Bajo,1,30,16.0,85.67999128439948,10.05751002599139
Bajo,1,30,16.0,85.9898671936557,10.04356638728385
Bajo,1,30,16.0,86.30086382056959,10.029573659957387
Bajo,1,30,16.0,86.6129852184025,10.015531944643499
Bajo,1,30,16.0,86.92623545507516,10.001441343696772
Bajo,1,30,16.0,87.24061861322062,9.987301961196348
Bajo,1,30,16.0,87.5561387902374,9.97311390294723
Bajo,1,30,16.0,87.87280009834294,9.958877276481404
Bajo,1,30,16.0,88.19060666462727,9.944592191058826
Bajo,1,30,16.0,88.50956263110668,9.930258757668215
Bajo,1,30,16.0,88.82967215477768,9.91587708902772
Bajo,1,30,16.0,89.15093940767139,9.9014472995854
Bajo,1,30,16.0,89.4733685769077,9.88696950551953
Bajo,1,30,16.0,89.79696386474983,9.872443824738813
Bajo,1,30,16.0,90.12172948865935,9.857870376882321
Bajo,1,30,16.0,90.44766968135086,9.843249283319388
Bajo,1,30,16.0,90.7747886908473,9.82858066714927
Bajo,1,30,16.0,91.10309078053533,9.813864653200655
Bajo,1,30,16.0,91.43258022922082,9.799101368031053
Bajo,1,30,16.0,91.7632613311846,9.784290939925974
Bajo,1,30,16.0,92.0951383962386,9.76943349889799
Bajo,1,30,16.0,92.42821574978186,9.75452917668561
Bajo,1,30,16.0,92.7624977328568,9.73957810675201
Bajo,1,30,16.0,93.0979887022062,9.724580424283602
Bajo,1,30,16.0,93.4346930303295,9.709536266188463
