pair,event,window,band,delta_db,match_cost
B_open,1,5-10ms,5000-10000,-7.859646905562229,1.12809385770946
B_open,1,10-20ms,20-60,-4.806183691029219,1.12809385770946
B_open,1,10-20ms,60-150,-5.561752265329261,1.12809385770946
B_open,1,10-20ms,150-500,-5.855479612503416,1.12809385770946
B_open,1,10-20ms,500-2000,-0.6645032733891298,1.12809385770946
B_open,1,10-20ms,2000-5000,-3.7740465692096876,1.12809385770946
B_open,1,10-20ms,5000-10000,-3.9948839371527924,1.12809385770946
B_open,1,20-40ms,20-60,-13.498910810678318,1.12809385770946
B_open,1,20-40ms,60-150,-19.63324703510888,1.12809385770946
B_open,1,20-40ms,150-500,-19.328740999134325,1.12809385770946
B_open,1,20-40ms,500-2000,-4.858697669290905,1.12809385770946
B_open,1,20-40ms,2000-5000,-8.84286792697253,1.12809385770946
B_open,1,20-40ms,5000-10000,-9.09777255355992,1.12809385770946
B_open,1,40-80ms,20-60,-10.001541075649413,1.12809385770946
B_open,1,40-80ms,60-150,-10.091090843037684,1.12809385770946
B_open,1,40-80ms,150-500,-9.901561715616296,1.12809385770946
B_open,1,40-80ms,500-2000,16.078238056757876,1.12809385770946
B_open,1,40-80ms,2000-5000,2.2433854594338527,1.12809385770946
B_open,1,40-80ms,5000-10000,1.4713794040812047,1.12809385770946
B_open,1,80-160ms,20-60,-11.090309354409527,1.12809385770946
B_open,1,80-160ms,60-150,-10.019733720007991,1.12809385770946
B_open,1,80-160ms,150-500,-6.08106953053646,1.12809385770946
B_open,1,80-160ms,500-2000,17.029251981829034,1.12809385770946
B_open,1,80-160ms,2000-5000,-5.322139549293638,1.12809385770946
B_open,1,80-160ms,5000-10000,-5.493534753801356,1.12809385770946
B_open,2,0-5ms,20-60,-6.151970043995021,1.6912885252330219
B_open,2,0-5ms,60-150,-6.919642257642764,1.6912885252330219
B_open,2,0-5ms,150-500,-6.557591499402079,1.6912885252330219
B_open,2,0-5ms,500-2000,-1.5169887401009845,1.6912885252330219
B_open,2,0-5ms,2000-5000,-4.009744635668611,1.6912885252330219
B_open,2,0-5ms,5000-10000,-7.379822107798049,1.6912885252330219
B_open,2,5-10ms,20-60,-13.139806128330477,1.6912885252330219
B_open,2,5-10ms,60-150,-12.605646833371509,1.6912885252330219
B_open,2,5-10ms,150-500,-11.7371787971951,1.6912885252330219
B_open,2,5-10ms,500-2000,0.2970314699909835,1.6912885252330219
B_open,2,5-10ms,2000-5000,-9.024276277246614,1.6912885252330219
B_open,2,5-10ms,5000-10000,-11.572662905533846,1.6912885252330219
B_open,2,10-20ms,20-60,0.6778201117489004,1.6912885252330219
B_open,2,10-20ms,60-150,-1.859224386545442,1.6912885252330219
B_open,2,10-20ms,150-500,-6.843544163295853,1.6912885252330219
B_open,2,10-20ms,500-2000,-7.501133321313695,1.6912885252330219
B_open,2,10-20ms,2000-5000,-11.538524446532222,1.6912885252330219
B_open,2,10-20ms,5000-10000,-12.3485481012424,1.6912885252330219
B_open,2,20-40ms,20-60,-19.85747113283469,1.6912885252330219
B_open,2,20-40ms,60-150,-21.98620401080683,1.6912885252330219
B_open,2,20-40ms,150-500,-21.73710130139831,1.6912885252330219
B_open,2,20-40ms,500-2000,-6.077532875409425,1.6912885252330219
B_open,2,20-40ms,2000-5000,-18.748711311062948,1.6912885252330219
B_open,2,20-40ms,5000-10000,-20.63494884316067,1.6912885252330219
B_open,2,40-80ms,20-60,-16.452987156055457,1.6912885252330219
B_open,2,40-80ms,60-150,-16.152961738019293,1.6912885252330219
B_open,2,40-80ms,150-500,-14.06695379418749,1.6912885252330219
B_open,2,40-80ms,500-2000,5.742837064406729,1.6912885252330219
B_open,2,40-80ms,2000-5000,-13.444238079112253,1.6912885252330219
B_open,2,40-80ms,5000-10000,-13.624252270664158,1.6912885252330219
B_open,2,80-160ms,20-60,-15.202441259862802,1.6912885252330219
