pair,family,string,register,event,phase,f,f0,y,snr,match_cost,kind,weight_base
G_open,open,G,low,43,body,97.91103061148317,97.91103061148317,-11.78539693745359,48.430863806995596,1.3367305497332262,fundamental,0.4
G_open,open,G,low,43,sustain,97.91103061148317,97.91103061148317,-11.133377790851384,50.74985558881743,1.3367305497332262,fundamental,0.3
G_open,open,G,low,43,decay,97.91103061148317,97.91103061148317,-10.972247933368095,46.16586763046506,1.3367305497332262,fundamental,0.08
G_open,open,G,low,44,attack,97.91312184463582,97.91312184463582,-14.354076219522817,45.468614880937395,1.547561005511894,fundamental,0.08
G_open,open,G,low,44,stabilization,97.91312184463582,97.91312184463582,-14.76970166739914,44.574839519428636,1.547561005511894,fundamental,0.14
G_open,open,G,low,44,body,97.91312184463582,97.91312184463582,-14.382889041141624,49.12399856980101,1.547561005511894,fundamental,0.4
G_open,open,G,low,44,sustain,97.91312184463582,97.91312184463582,-14.21826603483219,51.12207454902652,1.547561005511894,fundamental,0.3
G_open,open,G,low,44,decay,97.91312184463582,97.91312184463582,-14.17130095568519,46.2649739580156,1.547561005511894,fundamental,0.08
G_open,open,G,low,45,attack,97.91125563383841,97.91125563383841,-5.837771833241,46.700112569458284,1.4142383056508712,fundamental,0.08
G_open,open,G,low,45,stabilization,97.91125563383841,97.91125563383841,-5.4485911538440845,45.83665279880489,1.4142383056508712,fundamental,0.14
G_open,open,G,low,45,body,97.91125563383841,97.91125563383841,-5.044238511144464,50.30338657131288,1.4142383056508712,fundamental,0.4
G_open,open,G,low,45,sustain,97.91125563383841,97.91125563383841,-5.030258157785639,52.284773089087764,1.4142383056508712,fundamental,0.3
G_open,open,G,low,45,decay,97.91125563383841,97.91125563383841,-5.124448522812898,47.097736536584286,1.4142383056508712,fundamental,0.08
G_open,open,G,low,46,attack,97.88611145380045,97.88611145380045,-15.454774766847336,44.01053068485554,1.707461057958277,fundamental,0.08
G_open,open,G,low,46,stabilization,97.88611145380045,97.88611145380045,-15.697317478942878,43.23509566600195,1.707461057958277,fundamental,0.14
G_open,open,G,low,46,body,97.88611145380045,97.88611145380045,-15.64407731950822,47.399649566229265,1.707461057958277,fundamental,0.4
G_open,open,G,low,46,sustain,97.88611145380045,97.88611145380045,-15.83361106159201,48.86127800786859,1.707461057958277,fundamental,0.3
G_open,open,G,low,46,decay,97.88611145380045,97.88611145380045,-16.13512633539269,43.78818160837935,1.707461057958277,fundamental,0.08
G_open,open,G,low,47,attack,97.8991080025155,97.8991080025155,-6.63318039533916,46.99150265944262,1.2689140356475044,fundamental,0.08
G_open,open,G,low,47,stabilization,97.8991080025155,97.8991080025155,-6.8276692025556684,45.998819142694295,1.2689140356475044,fundamental,0.14
G_open,open,G,low,47,body,97.8991080025155,97.8991080025155,-6.4245317362093886,50.59583792255895,1.2689140356475044,fundamental,0.4
G_open,open,G,low,47,sustain,97.8991080025155,97.8991080025155,-6.1849076874107,52.607740895396304,1.2689140356475044,fundamental,0.3
G_open,open,G,low,47,decay,97.8991080025155,97.8991080025155,-6.184655420222967,47.9794197262912,1.2689140356475044,fundamental,0.08
G_open,open,G,low,48,attack,97.92239087419999,97.92239087419999,-8.998417628563267,46.510944270345405,1.5780535862641225,fundamental,0.08
G_open,open,G,low,48,stabilization,97.92239087419999,97.92239087419999,-9.680617523349028,45.63828727797383,1.5780535862641225,fundamental,0.14
G_open,open,G,low,48,body,97.92239087419999,97.92239087419999,-9.391886970227546,50.07922225056602,1.5780535862641225,fundamental,0.4
G_open,open,G,low,48,sustain,97.92239087419999,97.92239087419999,-9.458939695981812,52.03548942554169,1.5780535862641225,fundamental,0.3
G_open,open,G,low,48,decay,97.92239087419999,97.92239087419999,-9.519960404353,47.361568779956016,1.5780535862641225,fundamental,0.08
G_open,open,G,low,49,attack,97.91086182660686,97.91086182660686,-6.582397880376512,45.76897021748775,1.7601513161666196,fundamental,0.08
G_open,open,G,low,49,stabilization,97.91086182660686,97.91086182660686,-12.108771114616026,44.91173750628106,1.7601513161666196,fundamental,0.14
G_open,open,G,low,49,body,97.91086182660686,97.91086182660686,-11.726993999555702,49.54927272159493,1.7601513161666196,fundamental,0.4
G_open,open,G,low,49,sustain,97.91086182660686,97.91086182660686,-11.155448574854375,51.849213274944454,1.7601513161666196,fundamental,0.3
G_open,open,G,low,49,decay,97.91086182660686,97.91086182660686,-10.93373113738027,47.274661421986494,1.7601513161666196,fundamental,0.08
G_open,open,G,low,50,attack,97.9069901348663,97.9069901348663,-10.859303749453789,48.132337374587124,2.107728795924712,fundamental,0.08
G_open,open,G,low,50,stabilization,97.9069901348663,97.9069901348663,-11.793160533782212,47.34485011538759,2.107728795924712,fundamental,0.14
G_open,open,G,low,50,body,97.9069901348663,97.9069901348663,-11.592888304506443,51.88301361510184,2.107728795924712,fundamental,0.4
G_open,open,G,low,50,sustain,97.9069901348663,97.9069901348663,-11.29722029584712,53.96606656149904,2.107728795924712,fundamental,0.3
