pair,event,phase,f0_cafe_hz,f0_azul_hz,amplitude_cafe,amplitude_azul,delta_db,snr_cafe,snr_azul
B_open,24,stabilization,30.836475673144378,30.8765693540581,0.00881910908844148,0.0012477838124253292,-16.985707349254582,-7.740934641219644,-8.390647763556299
B_open,24,body,30.836475673144378,30.8765693540581,0.00951378741217425,0.0012476386362223813,-17.645292549625744,0.3952697901622476,0.7543347464636465
B_open,24,sustain,30.836475673144378,30.8765693540581,0.009003421819021107,0.0010951943553060659,-18.29832801968937,0.6678029484622988,0.9113018380004527
B_open,24,decay,30.836475673144378,30.8765693540581,0.008526741175032888,0.0010222352368403278,-18.42464466433932,0.008485456074500948,-0.11974080730812237
B_open,25,attack,30.885965937985603,30.859993008092907,0.0038043438494057267,0.0030391203995260513,-1.950637147167285,-4.664705386430619,-2.9531046457839754
B_open,25,stabilization,30.885965937985603,30.859993008092907,0.0017726641694021483,0.002294321427758252,2.240555895262993,-8.941728360467774,-7.655258490248242
B_open,25,body,30.885965937985603,30.859993008092907,0.0026184613890975336,0.0022512962669869337,-1.3122704622393115,0.6948333822159607,0.5923942691592109
B_open,25,sustain,30.885965937985603,30.859993008092907,0.0025341390440833367,0.0019797375203787194,-2.144456524744527,1.7381602441476964,0.7685548170066124
B_open,25,decay,30.885965937985603,30.859993008092907,0.0020783171510698477,0.0018583547987658317,-0.9716637624721756,-0.7600102964333361,-0.08860792582114038
B_open,26,attack,30.866066987422965,30.83164048188205,0.012898432211482054,0.002630904983937032,-13.808635237570655,-2.925623357619078,-1.8021097316415733
B_open,26,stabilization,30.866066987422965,30.83164048188205,0.012351135472885575,0.0024858490549612817,-13.924642625726676,-4.306460708216302,-2.4217312932284276
B_open,26,body,30.866066987422965,30.83164048188205,0.010913158724038264,0.0021669239980032172,-14.042135849359752,0.47496218606614765,0.442120699065168
B_open,26,sustain,30.866066987422965,30.83164048188205,0.00993098452929824,0.001863303897141116,-14.534172260705915,0.6430055619760993,0.8486141185631159
B_open,26,decay,30.866066987422965,30.83164048188205,0.009580864233031658,0.0017308194820532285,-14.863058220380907,0.5580397918444339,0.3983303275148382
B_open,27,attack,30.86652898213505,30.85888819930819,0.012948059673275766,0.0017882752915800533,-17.195406325314906,-2.152499134248741,-3.4294374768355906
B_open,27,stabilization,30.86652898213505,30.85888819930819,0.010890987858359872,0.0013312226003362449,-18.256331835890848,-7.5123240739903405,-8.487833659694438
B_open,27,body,30.86652898213505,30.85888819930819,0.011140937592436891,0.001316079279955403,-18.552793794525662,0.596737308272917,0.6574732406532785
B_open,27,sustain,30.86652898213505,30.85888819930819,0.010628307309272474,0.0011201086903592922,-19.544078729816107,0.7902415589753393,0.9388971523270397
B_open,27,decay,30.86652898213505,30.85888819930819,0.010239594079028315,0.0009715828650451129,-20.456057872458615,0.08715127859441626,-0.5005826159033616
