setup,run,frequency_hz,transfer_db,median_snr_db
Bajo,1,78.5688984295353,14.912977653189339,39.970047222204485
Bajo,1,78.853055891215,14.905689073324302,40.03533748688906
Bajo,1,79.13824105551804,14.897480820578895,39.885367522090334
Bajo,1,79.42445763930151,14.88813956693916,39.85110129909334
Bajo,1,79.71170937286517,14.877602977326372,39.54658384239422
Bajo,1,80.0,14.865964265595338,39.26077100059032
Bajo,1,80.28933327803705,14.85343947286343,39.263141028823384
Bajo,1,80.57971297789629,14.840320484361538,39.668651561892645
Bajo,1,80.87114288413603,14.826935225852509,40.0164524684465
Bajo,1,81.1636267950019,14.81362265698212,40.15960127729049
Bajo,1,81.45716852247654,14.800715039405304,40.22704650615012
Bajo,1,81.75177189232933,14.788514069526457,40.341915496886585
Bajo,1,82.04744074416612,14.777254782132976,40.01569508476673
Bajo,1,82.34417893147935,14.767064765958844,39.38859583669259
Bajo,1,82.64199032169827,14.75793509019971,39.102017572095946
Bajo,1,82.9408787962393,14.749717185019744,39.25536558082301
Bajo,1,83.24084825055664,14.742148596974669,39.621225509332604
Bajo,1,83.5419025941931,14.734897540886863,39.83854030581956
Bajo,1,83.84404575083097,14.72761038370245,39.99896747234421
Bajo,1,84.14728165834313,14.719949016709455,40.37639929816092
Bajo,1,84.45161426884457,14.711613819110418,40.651681458351696
Bajo,1,84.75704754874363,14.702356633959056,41.27534757629482
Bajo,1,85.06358547879385,14.691993390603448,41.31044993548806
Bajo,1,85.37123205414589,14.68042532538864,40.73541438202933
Bajo,1,85.67999128439948,14.667671059885283,40.49895825503104
Bajo,1,85.9898671936557,14.653901230252075,40.484857076777146
Bajo,1,86.30086382056959,14.639457092264493,40.557674397987604
Bajo,1,86.6129852184025,14.624831537065505,40.53517951288037
Bajo,1,86.92623545507516,14.610600134792813,40.255532933544046
Bajo,1,87.24061861322062,14.597310002485077,39.86434294463457
Bajo,1,87.5561387902374,14.585357100233209,39.814145330310446
Bajo,1,87.87280009834294,14.574894220171863,40.20823915346271
Bajo,1,88.19060666462727,14.565803550104626,40.14487166174469
Bajo,1,88.50956263110668,14.557741835909336,40.21154378266991
Bajo,1,88.82967215477768,14.550236908365553,39.44227943043222
Bajo,1,89.15093940767139,14.542797793189807,38.93341016045452
Bajo,1,89.4733685769077,14.535005165389268,39.305284684714806
Bajo,1,89.79696386474983,14.526567874593457,40.1161130206216
Bajo,1,90.12172948865935,14.517348561726006,40.548418964999954
Bajo,1,90.44766968135086,14.507366853433455,40.470206972025935
Bajo,1,90.7747886908473,14.496783347826032,40.273371453813766
Bajo,1,91.10309078053533,14.485861653433073,40.189409073333806
Bajo,1,91.43258022922082,14.474908563276077,40.03516192206624
Bajo,1,91.7632613311846,14.464203218366347,39.54123868596979
Bajo,1,92.09513839623861,14.453935202013836,39.47636653814146
Bajo,1,92.42821574978186,14.444171582010354,39.91320291580847
Bajo,1,92.76249773285681,14.434862360297206,40.19204114853814
Bajo,1,93.0979887022062,14.425879679158912,40.11663428252635
Bajo,1,93.4346930303295,14.41707516095956,39.59429249482361
Bajo,1,93.7726151055401,14.408335761315655,39.4454887832954
Bajo,1,94.1117593320225,14.399620765716719,40.145651274617336
Bajo,1,94.45213012988958,14.390967410626033,41.336813315780205
Bajo,1,94.79373193524033,14.382462695055134,41.57878866906009
Bajo,1,95.13656920021768,14.374189977204008,41.013729348704416
Bajo,1,95.4806463930664,14.366170039301055,40.29939213046286
Bajo,1,95.82596799819137,14.358320885966007,40.03548209586201
Bajo,1,96.17253851621625,14.350454938414185,40.08283404872991
Bajo,1,96.52036246404177,14.342317664534152,40.19521461614329
Bajo,1,96.86944437490479,14.333654332478691,40.8783708858343
Bajo,1,97.21978879843752,14.32427968616678,41.38513607158762
Bajo,1,97.57140030072651,14.314123417587044,41.08542910087995
Bajo,1,97.92428346437241,14.30323410711023,40.8146725143674
Bajo,1,98.2784428885496,14.291741608524902,41.29874307587079
Bajo,1,98.6338831890661,14.279795655856216,42.167965752735
Bajo,1,98.99060899842375,14.267508340012894,41.72238178317626
Bajo,1,99.34862496587871,14.254924519436296,40.36945347611358
Bajo,1,99.70793575750186,14.242029519857907,39.931180731908846
Bajo,1,100.06854605623964,14.228785342187049,40.459507982086315
Bajo,1,100.43046056197528,14.21517392255223,41.34857494264029
