pair,event,event_confidence_v18,class_weight,note_weight,lag_weight
B_12,50,0.6874084215419944,0.7,0.8857690423025126,0.4
B_open,0,0.6396180921126609,1.0,0.9443916206635646,0.7543859649123154
B_open,1,0.7992911391453591,1.0,0.9662350091930709,0.4
B_open,2,0.7560438650291804,1.0,0.9238178535823415,0.4
B_open,3,0.7623568961197505,1.0,0.9691775872876509,0.4
B_open,4,0.6761171387226522,1.0,0.8015943460293374,0.4
B_open,5,0.6609116633748654,1.0,0.870845462269102,0.4
B_open,6,0.7354641727706978,1.0,0.9346616807725968,0.4
B_open,7,0.78156126169166,1.0,0.9877637031963066,0.4
B_open,8,0.7301492973752995,1.0,0.927113944210045,0.4
B_open,9,0.7891242904220132,1.0,0.9872668287861637,0.4
B_open,10,0.7712356597833511,1.0,0.9711708733900165,0.4
B_open,11,0.7760810678668214,1.0,0.9970823244049329,0.4
B_open,13,0.7721713259937361,1.0,0.9406690538786556,0.4
B_open,14,0.76545742231452,1.0,0.968529779172632,0.4
B_open,15,0.7542151810595076,1.0,0.9491783301094993,0.4
B_open,16,0.7558348007321728,1.0,0.9776386567325205,0.4
B_open,17,0.6695106339664386,1.0,0.8457674305358218,0.4
B_open,18,0.7896821413775547,1.0,0.9769455957799346,0.4
B_open,19,0.7491652131251886,1.0,0.95994211521422,0.4
B_open,20,0.7076136029158696,1.0,0.9105296026469334,0.4
B_open,21,0.7483845911752064,1.0,0.9596974820362972,0.4
B_open,22,0.7396728739952162,1.0,0.8814935140908784,0.4
B_open,23,0.7909637435342604,1.0,0.9683816198849391,0.4
B_open,24,0.720015198447825,1.0,0.9151481114704078,0.4
B_open,25,0.67985280320392,1.0,0.8691873981413157,0.4
B_open,26,0.7402494744022045,1.0,0.9624526518160437,0.4
B_open,27,0.7706178941846923,1.0,0.969833081286479,0.4
B_open,28,0.7829503117719517,1.0,0.9625084338937446,0.4
B_open,29,0.8024512920878429,1.0,0.9757256663837129,0.4
B_open,30,0.889835859759832,1.0,0.9761951302219717,0.4
B_open,31,0.7821145897152463,1.0,0.9928565427403799,0.4
B_open,32,0.7876763366846268,1.0,0.9926741293841306,0.4
B_open,33,0.7575023286161243,1.0,0.9332428236541421,0.4
B_open,35,0.82384373234406,1.0,0.9221113750609378,0.971929824561409
B_open,36,0.8484595577720676,1.0,0.9654952564068248,0.8736842105263323
B_open,37,0.850667340197559,1.0,0.9926735571669091,0.8596491228070364
B_open,38,0.8889013612634348,1.0,0.9766574166898802,0.9368421052631658
B_open,39,0.8917107511811085,1.0,0.9964407992290675,0.978947368421061
B_open,40,0.8738842141753789,1.0,0.985948292827781,0.9578947368421137
B_open,41,0.8414173336747582,1.0,0.9808711361394639,0.9298245614035225
B_open,42,0.8530301530841585,1.0,0.9869613901014128,0.9789473684210516
B_open,43,0.7631846233597587,1.0,0.8775724576268455,0.9649122807017564
B_open,44,0.8684012467232256,1.0,0.9986752540581556,0.9859649122807042
B_open,45,0.8467820533737508,1.0,0.9988227232731927,0.971929824561409
B_open,46,0.8634595403833253,1.0,0.9167908851966811,0.971929824561409
B_open,47,0.812395093016084,1.0,0.9338818917034175,0.9228070175438706
B_open,48,0.8635236146297767,1.0,0.941360939641494,0.9087719298245759
B_open,49,0.8407289701812298,1.0,0.9340818863406986,0.9508771929824693
B_open,50,0.8511697603736796,1.0,0.9715299701105816,0.9017543859649227
B_open,51,0.8411675675739613,1.0,0.9639411081121493,1.0
B_open,52,0.8727705467238583,1.0,0.9574561571645857,0.9368421052631664
B_open,53,0.8714321681764987,1.0,0.9594696247335427,0.9929824561403485
B_open,54,0.7891942669483563,1.0,0.8655881424505882,0.985964912280713
B_open,55,0.8252774100291672,1.0,0.9486998685740448,0.992982456140348
B_open,57,0.7253574427976909,1.0,0.9204563380582471,0.4
B_open,58,0.6608528336448479,1.0,0.8336556516522946,0.4
B_open,59,0.7590768889582847,1.0,0.9317208569508622,0.4
B_open,60,0.7540752689953966,1.0,0.9458427081081118,0.4
B_open,61,0.7956478928852567,1.0,0.9832627966158194,0.4
B_open,62,0.6956249433657588,1.0,0.8721935406969769,0.4
B_open,63,0.758504947373433,1.0,0.9275392864884404,0.4
B_open,64,0.686006889570154,1.0,0.8652571582430968,0.4
B_open,65,0.7149567131390887,1.0,0.8965886508286358,0.4
B_open,66,0.7483866554680146,1.0,0.9355527577811203,0.4
B_open,67,0.7995126082310332,1.0,0.9504140990270179,0.4
B_open,68,0.7706306717558474,1.0,0.9900779529324287,0.4
B_open,69,0.8316377836465613,1.0,0.9568987803548528,0.971929824561409
B_open,70,0.8226285203810881,1.0,0.9120409471553761,0.7888157894736957
B_open,71,0.8033135474623774,1.0,0.9140642828743507,0.9859649122806959
