frequency_hz,eq_copy_db,eq_before_air_taper_db,source_variant,air_policy,smoothing,pipeline_version
5798.305023225609,4.116232489363011,4.116232489363011,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5808.09429638292,4.11619696298785,4.11619696298785,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5817.900096761301,4.11616128459963,4.11616128459963,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5827.722452263644,4.11612560621141,4.11612560621141,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5837.561390839951,4.1160899278231895,4.1160899278231895,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5847.416940487409,4.11605424943497,4.11605424943497,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5857.2891292504755,4.116018271629094,4.116018271629094,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5867.177985220955,4.115982098238455,4.115982098238455,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5877.083536538077,4.115945924847817,4.115945924847817,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5887.005811388582,4.1159097514571785,4.1159097514571785,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5896.944838006795,4.11587357806654,4.11587357806654,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5906.900644674713,4.115837144913553,4.115837144913553,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5916.873259722075,4.115800471785751,4.115800471785751,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5926.862711526455,4.115763798657949,4.115763798657949,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5936.869028513335,4.115727125530148,4.115727125530148,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5946.892239156187,4.115690452402346,4.115690452402346,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5956.932371976556,4.115653559955301,4.115653559955301,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
